Stock name,Symbol,Link
Indegene Ltd,INDGN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDGN"""
The Indian Hotels Company Limited,INDHOTEL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDHOTEL"""
The India Cements Limited,INDIACEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIACEM"""
India Glycols Limited,INDIAGLYCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIAGLYCO"""
Indiamart Intermesh Ltd,INDIAMART,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIAMART"""
Indian Bank,INDIANB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIANB"""
Indian Card Clothing Company Limited,INDIANCARD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIANCARD"""
Indian Hume Pipe Company Limited,INDIANHUME,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIANHUME"""
India Shelter Finance Corporation Ltd,INDIASHLTR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIASHLTR"""
India VIX,INDIAVIX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIAVIX"""
Interglobe Aviation Limited,INDIGO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIGO"""
Indigo Paints Ltd,INDIGOPNTS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDIGOPNTS"""
India Nippon Electricals Limited,INDNIPPON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDNIPPON"""
Indo Amines Ltd,INDOAMIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOAMIN"""
Indo Borax & Chemicals Ltd,INDOBORAX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOBORAX"""
Indoco Remedies Limited,INDOCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOCO"""
Indo Farm Equipment Ltd,INDOFARM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOFARM"""
Indo Rama Synthetics (india) Limited,INDORAMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDORAMA"""
Indostar Capital Finance Ltd,INDOSTAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOSTAR"""
Indo Tech Transformers Limited,INDOTECH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOTECH"""
Indo Thai Securities Limited,INDOTHAI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOTHAI"""
Indo US Bio-Tech Ltd,INDOUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOUS"""
Indowind Energy Limited,INDOWIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDOWIND"""
Indraprastha Medical Corporation Limited,INDRAMEDCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDRAMEDCO"""
Ind-swift Laboratories Limited,INDSWFTLAB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:INDSWFTLAB"""
